1st Match,2nd Match,Copy-Paste Skills,Keywords to Look For,Why This Combination
ACCOUNTING & WRITING,MANAGEMENT DEPARTMENT,Bookkeeping | Data Entry | Reporting | Excel | Administrative Support,"bookkeeping, admin tasks, filing",Operational accounting role
MARKETING,INFORMATION SYSTEMS OPERATION MANAGEMENT,Google Analytics | Data Analysis | A/B Testing | Dashboarding,"customer data, analytics tools",Marketing driven by data insights
MARKETING,MANAGEMENT DEPARTMENT,Communication | Campaign Execution | Customer Engagement | CRM,"campaigns, outreach, coordination",Execution-focused marketing role
MARKETING,MOAKLEY CENTER,Social Media | Content Creation | Event Planning | Communication | Community Engagement,"community outreach, service events, social campaigns",Marketing skills applied to social impact/community engagement
INSTITUTE FOR PUBLIC SERVICE (IPS),MANAGEMENT DEPARTMENT,Teaching | Communication | Leadership | Organization | Teamwork,"government, education, teaching, community service",Public sector or social impact roles with execution/management responsibilities
INSTITUTE FOR PUBLIC SERVICE (IPS),STRATEGY & INTERNATIONAL BUSINESS,Research | Policy Analysis | Writing | Critical Thinking | Public Speaking,"policy, law, global affairs, research",Public service supported by strategic/policy thinking
MOAKLEY CENTER,MARKETING,Community Engagement | Event Planning | Communication | Outreach | Social Media,"volunteering, food drives, outreach, campaigns",Social impact work supported by marketing/engagement activities
MOAKLEY CENTER,MANAGEMENT DEPARTMENT,Coordination | Event Planning | Leadership | Teamwork | Organization,"service programs, organizing events, leadership",Community work requiring coordination and execution
HEALTHCARE ADMINISTRATION,MANAGEMENT DEPARTMENT,Healthcare Operations | Project Coordination | Strategic Planning | Leadership | Scheduling | Communication,"healthcare management, hospital operations, scheduling, coordination, leadership",Healthcare-focused operations supported by general management and coordination skills
HEALTHCARE ADMINISTRATION,INSTITUTE FOR PUBLIC SERVICE (IPS),Public Health | Community Outreach | Healthcare Policy | Communication | Program Management,"public health, community programs, outreach, health policy, volunteering","Healthcare work tied to community impact, public health, and societal outcomes"
HEALTHCARE ADMINISTRATION,MARKETING,Healthcare Marketing | Patient Engagement | Communication | Branding | Outreach,"patient engagement, healthcare campaigns, outreach, awareness programs","Healthcare roles involving promotion, patient communication, and awareness initiatives"
HEALTHCARE ADMINISTRATION,INFORMATION SYSTEMS OPERATION MANAGEMENT,Healthcare Data Analysis | SQL | Data Visualization | Process Improvement | Reporting,"healthcare analytics, EMR/EHR systems, dashboards, data-driven decisions","Healthcare supported by data systems, analytics, and operational optimization"
HEALTHCARE ADMINISTRATION,FINANCE,Healthcare Financial Analysis | Budgeting | Cost Control | Forecasting | Excel,"healthcare budgeting, hospital finance, cost reduction, revenue cycle","Healthcare roles focused on financial performance, budgeting, and cost efficiency"
MANAGEMENT DEPARTMENT,HEALTHCARE ADMINISTRATION,Project Coordination | Operations Management | Leadership | Communication | Scheduling,"operations, coordination, team leadership in healthcare settings",General management role applied within healthcare context
INSTITUTE FOR PUBLIC SERVICE (IPS),HEALTHCARE ADMINISTRATION,Public Health | Community Engagement | Advocacy | Program Coordination | Communication,"community health, public health initiatives, NGO healthcare programs",Public service role focused on healthcare-related societal impact
MARKETING,HEALTHCARE ADMINISTRATION,Healthcare Marketing | Social Media | Campaigns | Patient Outreach | Communication,"healthcare campaigns, awareness, branding, patient acquisition",Marketing role specifically within healthcare industry
INFORMATION SYSTEMS OPERATION MANAGEMENT,HEALTHCARE ADMINISTRATION,SQL | Data Analysis | Healthcare Systems | Reporting | Dashboards,"EHR systems, healthcare data, analytics, reporting",Data/technical role applied within healthcare systems
FINANCE,HEALTHCARE ADMINISTRATION,Healthcare Finance | Budgeting | Financial Reporting | Cost Analysis | Excel,"hospital finance, cost analysis, revenue cycle management",Finance role focused on healthcare organizations
